graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
6graph_60_60_1000.dimacs;random_2level;dfs;39649;3539.493324600;39465.200000000;180000;0.219251111;10740;3602;0;0;0.000004175;0.000024899;0.000045747;0.000011955;0.657996208;0.234488094;0.238924798;-1;-1;-1;-1
6graph_60_60_1000.dimacs;random_2level;fat;39649;52.799281400;194;374990.050943703;0.000517347;10740;3602;0;0;0.000012670;0.000075558;0.000000682;0.000017372;0.587935111;0.595906045;0.630766573;0.784558407;0.621255660;0.127725623;0.348596311
6graph_60_60_1000.dimacs;random_2level;scaling;39649;11.221681400;586;374990.050943703;0.001562708;10740;3602;0;0;0.000000892;0.000005316;0.000000145;0.000009298;0.201590698;0.056354351;0.062075842;-1;-1;-1;-1
7graph_62_62_1000.dimacs;random_2level;bfs;44675;473.044146400;4223;44113620;0.000095730;11470;3846;0.187445510;0.000538645;0.000004883;0.000029125;0.000005362;0.000004400;0.925363223;0.935537775;0.954565349;-1;-1;-1;-1
7graph_62_62_1000.dimacs;random_2level;dfs;44675;4265.624002000;44513.400000000;186000;0.239319355;11470;3846;0;0;0.000004177;0.000024916;0.000048348;0.000011972;0.656973655;0.233629205;0.238784011;-1;-1;-1;-1
7graph_62_62_1000.dimacs;random_2level;fat;44675;71.106008000;250;401563.394616967;0.000622567;11470;3846;0;0;0.000012399;0.000073953;0.000000806;0.000015122;0.663438378;0.671133740;0.708677942;0.831596464;0.696913157;0.146541587;0.399957251
7graph_62_62_1000.dimacs;random_2level;scaling;44675;23.912843000;694;401563.394616967;0.001728245;11470;3846;0;0;0.000001502;0.000008959;0.000000271;0.000008743;0.317026110;0.103716373;0.118650709;-1;-1;-1;-1
8graph_64_64_1000.dimacs;random_2level;bfs;44751;502.683454400;4332;50093952;0.000086478;12224;4098;0.182141688;0.000501962;0.000004746;0.000028316;0.000005017;0.000004288;0.921838716;0.931698722;0.952412245;-1;-1;-1;-1
8graph_64_64_1000.dimacs;random_2level;dfs;44751;4630.108325400;44552.200000000;192000;0.232042708;12224;4098;0;0;0.000004251;0.000025360;0.000046214;0.000012127;0.658263317;0.235599351;0.240203273;-1;-1;-1;-1
8graph_64_64_1000.dimacs;random_2level;fat;44751;65.038076600;214;429080.657409050;0.000498741;12224;4098;0;0;0.000012431;0.000074162;0.000000649;0.000016179;0.619524911;0.626852492;0.664510905;0.801195477;0.648802926;0.136433766;0.372376239
8graph_64_64_1000.dimacs;random_2level;scaling;44751;17.761134000;651;429080.657409050;0.001517197;12224;4098;0;0;0.000001116;0.000006658;0.000000177;0.000009268;0.242285210;0.070090266;0.079797945;-1;-1;-1;-1
9graph_66_66_1000.dimacs;random_2level;bfs;49293;641.605010200;5103;56662716;0.000090059;13002;4358;0.196969697;0.000484014;0.000004835;0.000028851;0.000005662;0.000004340;0.931232669;0.940850325;0.958050674;-1;-1;-1;-1
