graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
21graph_90_90_1000.dimacs;random_2level;bfs;65941;2354.406951000;8823;196149420;0.000044981;24210;8102;0.188310615;0.000255760;0.000011022;0.000032936;-0.000001692;0.000004260;0.000004859;0.952357443;0.952292441;0.974948368;-1;-1;-1;-1
21graph_90_90_1000.dimacs;random_2level;dfs;65941;14379.556136000;65826;270000;0.243800000;24210;8102;0;0;0.000009023;0.000026962;-0.000010333;0.000000013;0.000012820;0.661821191;0.236567981;0.241164685;-1;-1;-1;-1
21graph_90_90_1000.dimacs;random_2level;fat;65941;298.290552000;333;873622.686272539;0.000381171;24210;8102;0;0;0.000037000;0.000110561;-0.000000214;0.000000064;0.000016310;0.952234016;0.952292441;0.974948368;0.000123426;0.000123426;0.472200329;1.288996209
21graph_90_90_1000.dimacs;random_2level;scaling;65941;136.142890000;949;270000;0.003514815;24210;8102;0;0;0.000005926;0.000017707;-0.000000098;0.000000024;0.000022945;0.238599974;0.078652587;0.089203640;-1;-1;-1;-1
22graph_92_92_1000.dimacs;random_2level;bfs;67158;2565.324983000;9578;214189800;0.000044717;25300;8466;0.194762846;0.000248105;0.000010586;0.000031637;-0.000006542;0.000004109;0.000004685;0.946019372;0.946166008;0.971561265;-1;-1;-1;-1
22graph_92_92_1000.dimacs;random_2level;dfs;67158;15516.424496000;67062;276000;0.242978261;25300;8466;0;0;0.000009145;0.000027330;-0.000039569;0.000000013;0.000012917;0.663962708;0.238323364;0.242914840;-1;-1;-1;-1
22graph_92_92_1000.dimacs;random_2level;fat;67158;393.653851000;442;914560.022316877;0.000483293;25300;8466;0;0;0.000035202;0.000105200;-0.000001004;0.000000058;0.000015579;0.945901252;0.946166008;0.971561265;0.000118120;0.000118120;0.462583567;1.262754690
22graph_92_92_1000.dimacs;random_2level;scaling;67158;172.970578000;1010;276000;0.003659420;25300;8466;0;0;0.000006769;0.000020229;-0.000000441;0.000000020;0.000019488;0.297306524;0.110596838;0.123929695;-1;-1;-1;-1
23graph_94_94_1000.dimacs;random_2level;bfs;67737;2876.382976000;9573;233446932;0.000041007;26414;8838;0.189047475;0.000233864;0.000011375;0.000033997;0.000009163;0.000004419;0.000005038;0.945123331;0.945256303;0.970943439;-1;-1;-1;-1
23graph_94_94_1000.dimacs;random_2level;dfs;67737;16057.587751000;67703;282000;0.240081560;26414;8838;0;0;0.000008979;0.000026836;0.000051154;0.000000012;0.000012888;0.656499142;0.234374369;0.238532954;-1;-1;-1;-1
