graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
18graph_84_25_1000.dimacs;square_mesh;bfs;252000;13761.242025000;28249;1.22927774e+09;0.000022980;174168;7058;0.086195512;0.000283366;0.000002797;0.000069020;0.000009625;0.000001344;0.000001371;1.000141683;1;1;-1;-1;-1;-1
18graph_84_25_1000.dimacs;square_mesh;dfs;252000;64108.005444000;192984;252000;0.765809524;174168;7058;0;0;0.000001907;0.000047066;0.000044838;0.000000001;0.000007206;0.804070751;0.115618356;0.116045229;-1;-1;-1;-1
18graph_84_25_1000.dimacs;square_mesh;fat;252000;734.548998000;393;6250215.214014320;0.000062878;174168;7058;0;0;0.000010731;0.000264817;0.000000514;0.000000026;0.000005259;1;1;1;0.000141683;0.000141683;0.109872726;0.845730990
18graph_84_25_1000.dimacs;square_mesh;scaling;252000;275.432402000;839;252000;0.003329365;174168;7058;0;0;0.000001885;0.000046513;0.000000193;0.000000003;0.000016195;0.271504014;0.086777174;0.052692494;-1;-1;-1;-1
19graph_86_25_1000.dimacs;square_mesh;bfs;258000;15780.467653000;29725;1.35103756e+09;0.000022002;182622;7398;0.086558575;0.000270343;0.000002907;0.000071760;0.000014663;0.000001397;0.000001425;1.000135172;1;1;-1;-1;-1;-1
19graph_86_25_1000.dimacs;square_mesh;dfs;258000;71258.759759000;202144;258000;0.783503876;182622;7398;0;0;0.000001930;0.000047650;0.000066213;0.000000001;0.000007220;0.801816467;0.116930402;0.117430305;-1;-1;-1;-1
19graph_86_25_1000.dimacs;square_mesh;fat;258000;748.664909000;391;6565995.602946931;0.000059549;182622;7398;0;0;0.000010485;0.000258819;0.000000696;0.000000024;0.000005138;1;1;1;0.000135172;0.000135172;0.109794438;0.845332004
19graph_86_25_1000.dimacs;square_mesh;scaling;258000;295.894789000;852;258000;0.003302326;182622;7398;0;0;0.000001902;0.000046944;0.000000275;0.000000003;0.000015738;0.271004440;0.090560928;0.054930473;-1;-1;-1;-1
20graph_88_25_1000.dimacs;square_mesh;bfs;264000;16804.591742000;31222;1.4816239e+09;0.000021073;191276;7746;0.086793429;0.000258198;0.000002814;0.000069485;0.000035277;0.000001352;0.000001379;1.000129099;1;1;-1;-1;-1;-1
20graph_88_25_1000.dimacs;square_mesh;dfs;264000;79411.121126000;210187;264000;0.796162879;191276;7746;0;0;0.000001975;0.000048775;0.000166706;0.000000001;0.000007300;0.800060373;0.118578945;0.119094698;-1;-1;-1;-1
20graph_88_25_1000.dimacs;square_mesh;fat;264000;811.696187000;406;6889829.768814865;0.000058927;191276;7746;0;0;0.000010452;0.000258101;0.000001704;0.000000023;0.000005122;1;1;1;0.000129099;0.000129099;0.108893223;0.838584954
20graph_88_25_1000.dimacs;square_mesh;scaling;264000;319.602792000;871;264000;0.003299242;191276;7746;0;0;0.000001918;0.000047371;0.000000671;0.000000002;0.000015220;0.273951846;0.094402780;0.057474212;-1;-1;-1;-1
21graph_90_25_1000.dimacs;square_mesh;bfs;270000;19198.046821000;32889;1.62145326e+09;0.000020284;200130;8102;0.087420677;0.000246853;0.000002917;0.000072047;-0.000010614;0.000001402;0.000001429;1.000123426;1;1;-1;-1;-1;-1
21graph_90_25_1000.dimacs;square_mesh;dfs;270000;86622.861448000;219295;270000;0.812203704;200130;8102;0;0;0.000001974;0.000048754;-0.000047890;0.000000001;0.000007242;0.797893551;0.119586835;0.120123134;-1;-1;-1;-1
21graph_90_25_1000.dimacs;square_mesh;fat;270000;875.616645000;419;7221731.028654412;0.000058019;200130;8102;0;0;0.000010442;0.000257933;-0.000000484;0.000000022;0.000005117;1;1;1;0.000123426;0.000123426;0.109263478;0.841618916
21graph_90_25_1000.dimacs;square_mesh;scaling;270000;340.654086000;894;270000;0.003311111;200130;8102;0;0;0.000001904;0.000047031;-0.000000188;0.000000003;0.000017152;0.258730962;0.082368340;0.050265306;-1;-1;-1;-1
22graph_92_25_1000.dimacs;square_mesh;bfs;276000;21298.650229000;34438;1.77095174e+09;0.000019446;209184;8466;0.087924985;0.000236239;0.000002957;0.000073053;0.000208668;0.000001421;0.000001449;1.000118120;1;1;-1;-1;-1;-1
22graph_92_25_1000.dimacs;square_mesh;dfs;276000;94793.851672000;227662;276000;0.824862319;209184;8466;0;0;0.000001990;0.000049183;0.000928720;0.000000001;0.000007223;0.796180230;0.121092944;0.121672664;-1;-1;-1;-1
