graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
7graph_62_25_1000.dimacs;square_mesh;fat;186000;156.303466600;295;3304022.999440419;0.000089285;94374;3846;0;0;0.000002807;0.000137764;0.000000215;0.000004086;0.671242850;0.680857626;0.673272820;0.983560292;0.698429361;0.089991534;0.690022542
7graph_62_25_1000.dimacs;square_mesh;scaling;186000;32.759631200;602;3304022.999440419;0.000182202;94374;3846;0;0;0.000000288;0.000014149;0.000000045;0.000004713;0.316977729;0.091019001;0.054719147;-1;-1;-1;-1
8graph_64_25_1000.dimacs;square_mesh;bfs;192000;4233.693139600;15515;412373544;0.000037624;100628;4098;0.080285805;0.000488043;0.000001356;0.000066588;0.000005133;0.000001335;0.992193326;0.999682079;0.995549025;-1;-1;-1;-1
8graph_64_25_1000.dimacs;square_mesh;dfs;192000;16494.274625400;99283.600000000;192000;0.517102083;100628;4098;0;0;0.000000825;0.000040540;0.000019999;0.000007116;0.825509683;0.099605441;0.099192761;-1;-1;-1;-1
8graph_64_25_1000.dimacs;square_mesh;fat;192000;160.228754400;300;3532193.095039091;0.000084933;100628;4098;0;0;0.000002654;0.000130331;0.000000194;0.000003567;0.725993167;0.736789760;0.729210591;0.987619977;0.762179925;0.093718316;0.718943864
8graph_64_25_1000.dimacs;square_mesh;scaling;192000;33.563303600;625;3532193.095039091;0.000176944;100628;4098;0;0;0.000000267;0.000013104;0.000000041;0.000004137;0.318923963;0.096606861;0.058012148;-1;-1;-1;-1
9graph_66_25_1000.dimacs;square_mesh;bfs;198000;4781.351287400;16635;466663356;0.000035647;107082;4358;0.081134084;0.000458926;0.000001342;0.000065954;0.000005123;0.000001321;0.992432657;0.999692026;0.995688162;-1;-1;-1;-1
9graph_66_25_1000.dimacs;square_mesh;dfs;198000;19288.484861800;108339.400000000;198000;0.547168687;107082;4358;0;0;0.000000831;0.000040854;0.000020666;0.000007046;0.823474285;0.101485078;0.101225045;-1;-1;-1;-1
9graph_66_25_1000.dimacs;square_mesh;fat;198000;177.984166000;313;3768245.756723101;0.000083063;107082;4358;0;0;0.000002655;0.000130482;0.000000191;0.000003661;0.707986634;0.718289910;0.710856638;0.986713136;0.735537596;0.091343692;0.701040686
9graph_66_25_1000.dimacs;square_mesh;scaling;198000;34.907841400;650;3768245.756723101;0.000172494;107082;4358;0;0;0.000000251;0.000012323;0.000000037;0.000004157;0.305658559;0.090155223;0.054096846;-1;-1;-1;-1
10graph_68_25_1000.dimacs;square_mesh;bfs;204000;5495.688811600;17920;526142736;0.000034059;113736;4626;0.082282655;0.000432339;0.000001348;0.000066295;0.000005223;0.000001327;0.992637994;0.999700564;0.995808396;-1;-1;-1;-1
10graph_68_25_1000.dimacs;square_mesh;dfs;204000;22816.189316400;118117.200000000;204000;0.579005882;113736;4626;0;0;0.000000849;0.000041756;0.000021683;0.000007107;0.820979648;0.102932219;0.102786934;-1;-1;-1;-1
10graph_68_25_1000.dimacs;square_mesh;fat;204000;197.138791800;320;4012198.820189595;0.000079757;113736;4626;0;0;0.000002708;0.000133173;0.000000187;0.000003786;0.698498973;0.708180402;0.701050844;0.990358841;0.727156291;0.092196677;0.707881960
10graph_68_25_1000.dimacs;square_mesh;scaling;204000;39.820828200;670;4012198.820189595;0.000166991;113736;4626;0;0;0.000000261;0.000012848;0.000000038;0.000004234;0.306187932;0.092035379;0.055480406;-1;-1;-1;-1
11graph_70_25_1000.dimacs;square_mesh;bfs;210000;6214.553684600;18977;591132180;0.000032103;120590;4902;0.082336844;0.000407997;0.000001358;0.000066805;0.000005256;0.000001336;0.992913935;0.999711950;0.995965117;-1;-1;-1;-1
11graph_70_25_1000.dimacs;square_mesh;dfs;210000;26089.695502800;127409.800000000;210000;0.606713333;120590;4902;0;0;0.000000849;0.000041773;0.000022068;0.000007005;0.818738888;0.104605113;0.104567182;-1;-1;-1;-1
11graph_70_25_1000.dimacs;square_mesh;fat;210000;198.772881200;335;4264069.587725517;0.000078563;120590;4902;0;0;0.000002460;0.000121043;0.000000168;0.000003898;0.617377007;0.625487992;0.618542304;0.979820603;0.630787921;0.086626103;0.665370144
11graph_70_25_1000.dimacs;square_mesh;scaling;210000;43.394354200;692;4264069.587725517;0.000162286;120590;4902;0;0;0.000000260;0.000012792;0.000000037;0.000004408;0.298968747;0.087677325;0.052910336;-1;-1;-1;-1
