graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
6graph_3325_25_1000.dimacs;matching;scaling;3325000;144.482478000;3325;3889936.908479369;0.000854770;89775;6652;0;0;0.000000242;0.000006532;0.000000121;0.000004526;0.569290710;0.061235786;0.032385480;-1;-1;-1;-1
7graph_3490_25_1000.dimacs;matching;bfs;3490000;381.684494800;3490;657913860;0.000005305;94230;6982;0.056086172;0.000289107;0.000000580;0.000015664;0.000000290;0.000002017;0.268908343;0.508446455;0.277727736;-1;-1;-1;-1
7graph_3490_25_1000.dimacs;matching;dfs;3490000;93.791481600;3490;3490000;0.001000000;94230;6982;0;0;0.000000143;0.000003849;0.000000071;0.000007036;0.268960167;0.020465267;0.010302030;-1;-1;-1;-1
7graph_3490_25_1000.dimacs;matching;fat;3490000;152.351429200;3490;4096139.579861360;0.000852022;94230;6982;0;0;0.000000232;0.000006252;0.000000116;0.000006137;0.019280360;0.056014623;0.037031694;0.558601447;0.019280360;0;0
7graph_3490_25_1000.dimacs;matching;scaling;3490000;157.953134200;3490;4096139.579861360;0.000852022;94230;6982;0;0;0.000000240;0.000006482;0.000000120;0.000004534;0.567501861;0.060412613;0.031940176;-1;-1;-1;-1
8graph_3655_25_1000.dimacs;matching;bfs;3655000;412.089728000;3655;721584720;0.000005065;98685;7312;0.056047018;0.000275872;0.000000571;0.000015419;0.000000286;0.000001993;0.267767955;0.507512703;0.276717856;-1;-1;-1;-1
8graph_3655_25_1000.dimacs;matching;dfs;3655000;102.510072600;3655;3655000;0.001000000;98685;7312;0;0;0.000000142;0.000003836;0.000000071;0.000007021;0.268181345;0.020466986;0.010303490;-1;-1;-1;-1
8graph_3655_25_1000.dimacs;matching;fat;3655000;164.965384800;3655;4302950.207964807;0.000849417;98685;7312;0;0;0.000000229;0.000006173;0.000000114;0.000006220;0.018191523;0.054944179;0.036091301;0.551360880;0.018191523;0;0
8graph_3655_25_1000.dimacs;matching;scaling;3655000;180.426780000;3655;4302950.207964807;0.000849417;98685;7312;0;0;0.000000250;0.000006751;0.000000125;0.000004743;0.563757682;0.060229529;0.031841534;-1;-1;-1;-1
9graph_3820_25_1000.dimacs;matching;bfs;3820000;482.429320000;3820;788195880;0.000004847;103140;7642;0.056045181;0.000263953;0.000000612;0.000016526;0.000000306;0.000002136;0.267809611;0.507549501;0.276724843;-1;-1;-1;-1
9graph_3820_25_1000.dimacs;matching;dfs;3820000;118.938229000;3820;3820000;0.001000000;103140;7642;0;0;0.000000151;0.000004074;0.000000075;0.000007479;0.267906787;0.020379671;0.010256678;-1;-1;-1;-1
9graph_3820_25_1000.dimacs;matching;fat;3820000;181.217226200;3820;4510341.328300674;0.000846943;103140;7642;0;0;0.000000230;0.000006208;0.000000115;0.000006379;0.017533992;0.054153232;0.035403785;0.545397713;0.017533992;0;0
9graph_3820_25_1000.dimacs;matching;scaling;3820000;198.951894200;3820;4510341.328300674;0.000846943;103140;7642;0;0;0.000000252;0.000006815;0.000000126;0.000004783;0.564386464;0.060302151;0.031881355;-1;-1;-1;-1
10graph_3985_25_1000.dimacs;matching;bfs;3985000;505.748431000;3985;857747340;0.000004646;107595;7972;0.056057438;0.000253083;0.000000590;0.000015920;0.000000295;0.000002056;0.268110375;0.507913622;0.276980053;-1;-1;-1;-1
10graph_3985_25_1000.dimacs;matching;dfs;3985000;122.135121600;3985;3985000;0.001000000;107595;7972;0;0;0.000000142;0.000003845;0.000000071;0.000007070;0.267350885;0.020348568;0.010240274;-1;-1;-1;-1
10graph_3985_25_1000.dimacs;matching;fat;3985000;192.609364600;3985;4718287.851286856;0.000844586;107595;7972;0;0;0.000000225;0.000006063;0.000000112;0.000006480;0.016127053;0.052946918;0.034064859;0.537219635;0.016127053;0;0
10graph_3985_25_1000.dimacs;matching;scaling;3985000;206.756597200;3985;4718287.851286856;0.000844586;107595;7972;0;0;0.000000241;0.000006508;0.000000121;0.000004596;0.563149820;0.059770781;0.031593972;-1;-1;-1;-1
11graph_4150_25_1000.dimacs;matching;bfs;4150000;550.169323400;4150;930239100;0.000004461;112050;8302;0.056073182;0.000243091;0.000000592;0.000015969;0.000000296;0.000002066;0.267683531;0.508152193;0.276475117;-1;-1;-1;-1
