graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
11graph_70_70_25_1000.dimacs;basic_line;fat;847066;1065.711629000;2590;4180344.808157826;0.000619566;100785;4902;0;0;0.000002041;0.000083940;0.000001079;0.000002999;0.655485351;0.648173077;0.664724630;0.933707934;0.664239322;0.044564072;0.303053685
11graph_70_70_25_1000.dimacs;basic_line;scaling;847066;182.075651600;7008;4180344.808157826;0.001676417;100785;4902;0;0;0.000000129;0.000005300;0.000000184;0.000009203;0.191524281;0.008926692;0.009347708;-1;-1;-1;-1
12graph_72_72_25_1000.dimacs;basic_line;bfs;876175;2889.023828800;6147;556385196;0.000011048;107286;5186;0.028722294;0.000385654;0.000002190;0.000090627;0.000002596;0.000002168;0.979903221;0.992032915;0.986602955;-1;-1;-1;-1
12graph_72_72_25_1000.dimacs;basic_line;dfs;876175;22413.936195000;367499.600000000;1800000;0.204166444;107286;5186;0;0;0.000000284;0.000011759;0.000020142;0.000008204;0.511805979;0.023422947;0.022274087;-1;-1;-1;-1
12graph_72_72_25_1000.dimacs;basic_line;fat;876175;717.114914400;2094;4458712.923290336;0.000469642;107286;5186;0;0;0.000001596;0.000066036;0.000000644;0.000003673;0.417860738;0.403024899;0.424436845;0.827289216;0.424119783;0.039855204;0.272157018
12graph_72_72_25_1000.dimacs;basic_line;scaling;876175;161.990373600;7002;4458712.923290336;0.001570408;107286;5186;0;0;0.000000108;0.000004461;0.000000146;0.000008991;0.171489045;0.006873222;0.007847745;-1;-1;-1;-1
13graph_74_74_25_1000.dimacs;basic_line;bfs;898146;3267.929975400;6507;623484048;0.000010437;113816;5478;0.028651508;0.000365097;0.000002206;0.000091679;0.000002621;0.000002180;0.981884620;0.994252229;0.988333129;-1;-1;-1;-1
13graph_74_74_25_1000.dimacs;basic_line;dfs;898146;29011.569137000;407330;1850000;0.220178378;113816;5478;0;0;0.000000313;0.000013002;0.000023266;0.000008436;0.532867966;0.025409378;0.024266444;-1;-1;-1;-1
13graph_74_74_25_1000.dimacs;basic_line;fat;898146;966.840854000;2382;4739091.969001849;0.000502628;113816;5478;0;0;0.000001783;0.000074095;0.000000775;0.000003879;0.443332907;0.431798282;0.449056631;0.857007451;0.446076038;0.039532121;0.270731196
13graph_74_74_25_1000.dimacs;basic_line;scaling;898146;211.495887000;7524;4739091.969001849;0.001587646;113816;5478;0;0;0.000000123;0.000005131;0.000000170;0.000009277;0.183842154;0.008073822;0.008886952;-1;-1;-1;-1
14graph_76_76_25_1000.dimacs;basic_line;bfs;891303;3356.741300000;6475;697832172;0.000009279;120774;5778;0.026880786;0.000346141;0.000002146;0.000089722;0.000002405;0.000002124;0.979585513;0.991365433;0.987259435;-1;-1;-1;-1
14graph_76_76_25_1000.dimacs;basic_line;dfs;891303;33517.747093800;434087.400000000;1900000;0.228467053;120774;5778;0;0;0.000000320;0.000013363;0.000024016;0.000008367;0.538109179;0.026520046;0.025332753;-1;-1;-1;-1
14graph_76_76_25_1000.dimacs;basic_line;fat;891303;1835.253168800;2212;5038103.832336534;0.000439054;120774;5778;0;0;0.000003435;0.000143593;0.000001315;0.000004999;0.657110872;0.650446453;0.671400240;0.933688738;0.690701996;0.052856461;0.363446026
14graph_76_76_25_1000.dimacs;basic_line;scaling;891303;240.036795400;7316;5038103.832336534;0.001452134;120774;5778;0;0;0.000000136;0.000005678;0.000000172;0.000008272;0.185340040;0.013935090;0.011986499;-1;-1;-1;-1
15graph_78_78_25_1000.dimacs;basic_line;bfs;950017;3874.745852000;7019;777851660;0.000009024;127810;6086;0.027548705;0.000328623;0.000002160;0.000090706;0.000002491;0.000002135;0.981125031;0.993391979;0.987929717;-1;-1;-1;-1
15graph_78_78_25_1000.dimacs;basic_line;dfs;950017;33223.924794800;455285.600000000;1950000;0.233479795;127810;6086;0;0;0.000000286;0.000011992;0.000021356;0.000008380;0.509538564;0.022969793;0.021939729;-1;-1;-1;-1
15graph_78_78_25_1000.dimacs;basic_line;fat;950017;849.584922400;2214;5341190.813261107;0.000414514;127810;6086;0;0;0.000001501;0.000063052;0.000000546;0.000003662;0.394544798;0.379368469;0.400547137;0.832756684;0.397609571;0.039354106;0.271455903
15graph_78_78_25_1000.dimacs;basic_line;scaling;950017;221.268044000;7861;5341190.813261107;0.001471769;127810;6086;0;0;0.000000110;0.000004625;0.000000142;0.000009108;0.168962214;0.007495496;0.008066565;-1;-1;-1;-1
16graph_80_80_25_1000.dimacs;basic_line;bfs;959314;4159.367196400;7235;865723254;0.000008357;135227;6402;0.026843752;0.000312402;0.000002126;0.000089799;0.000002402;0.000002102;0.981380473;0.993664575;0.988168315;-1;-1;-1;-1
16graph_80_80_25_1000.dimacs;basic_line;dfs;959314;39259.753199600;477671.600000000;2000000;0.238835800;135227;6402;0;0;0.000000304;0.000012835;0.000022675;0.000009020;0.507287229;0.022671953;0.021676835;-1;-1;-1;-1
16graph_80_80_25_1000.dimacs;basic_line;fat;959314;1224.860671200;2357;5661026.445848000;0.000416356;135227;6402;0;0;0.000001921;0.000081173;0.000000707;0.000004424;0.419590121;0.409833188;0.424411544;0.821524139;0.424012927;0.035354073;0.244815166
16graph_80_80_25_1000.dimacs;basic_line;scaling;959314;265.634681000;7918;5661026.445848000;0.001398686;135227;6402;0;0;0.000000124;0.000005240;0.000000153;0.000010545;0.165766014;0.007211462;0.007839259;-1;-1;-1;-1
17graph_82_82_25_1000.dimacs;basic_line;bfs;995063;5041.756371000;7629;957883290;0.000007964;142415;6726;0.026861637;0.000297354;0.000002320;0.000098256;0.000002632;0.000002297;0.979159039;0.990223628;0.987066012;-1;-1;-1;-1
17graph_82_82_25_1000.dimacs;basic_line;dfs;995063;45076.017760800;524214.600000000;2050000;0.255714439;142415;6726;0;0;0.000000302;0.000012785;0.000023529;0.000008484;0.516907832;0.024379017;0.023381576;-1;-1;-1;-1
17graph_82_82_25_1000.dimacs;basic_line;fat;995063;2315.673584000;2866;5972085.433809206;0.000479899;142415;6726;0;0;0.000002837;0.000120128;0.000001209;0.000005216;0.524595787;0.516736598;0.531465117;0.878137230;0.530106684;0.038399345;0.266335681
17graph_82_82_25_1000.dimacs;basic_line;scaling;995063;290.968624800;8122;5972085.433809206;0.001359994;142415;6726;0;0;0.000000126;0.000005326;0.000000152;0.000008453;0.169462877;0.012585780;0.010877701;-1;-1;-1;-1
18graph_84_84_25_1000.dimacs;basic_line;bfs;1022896;5142.323586200;7980;1.06127617e+09;0.000007519;150365;7058;0.026608586;0.000283366;0.000002143;0.000091301;0.000002423;0.000002118;0.982144331;0.993106280;0.988879870;-1;-1;-1;-1
18graph_84_84_25_1000.dimacs;basic_line;dfs;1022896;48260.162043400;554318.600000000;2100000;0.263961238;150365;7058;0;0;0.000000290;0.000012336;0.000022737;0.000008429;0.511756722;0.023289483;0.022335616;-1;-1;-1;-1
18graph_84_84_25_1000.dimacs;basic_line;fat;1022896;1712.378671000;2965;6315918.798429639;0.000469449;150365;7058;0;0;0.000001920;0.000081826;0.000000807;0.000003771;0.490646042;0.483610573;0.497765561;0.866447747;0.495510865;0.037085718;0.258289024
18graph_84_84_25_1000.dimacs;basic_line;scaling;1022896;292.852617200;8497;6315918.798429639;0.001345331;150365;7058;0;0;0.000000115;0.000004883;0.000000138;0.000010103;0.159633892;0.007130242;0.007596758;-1;-1;-1;-1
19graph_86_86_25_1000.dimacs;basic_line;bfs;1016410;5555.209631800;7902;1.16975696e+09;0.000006755;158118;7398;0.025095182;0.000270343;0.000002223;0.000095027;-0.000002841;0.000002197;0.981851724;0.992596552;0.988827073;-1;-1;-1;-1
19graph_86_86_25_1000.dimacs;basic_line;dfs;1016410;52584.674488600;570640.600000000;2150000;0.265414233;158118;7398;0;0;0.000000291;0.000012456;-0.000026891;0.000008425;0.511187811;0.023584718;0.022628765;-1;-1;-1;-1
19graph_86_86_25_1000.dimacs;basic_line;fat;1016410;2542.519222200;2195;6652310.526041972;0.000329961;158118;7398;0;0;0.000003663;0.000156572;-0.000001300;0.000004307;0.811745833;0.805999158;0.831494646;0.978172701;0.843943047;0.059770594;0.417186903
19graph_86_86_25_1000.dimacs;basic_line;scaling;1016410;323.176766200;8557;6652310.526041972;0.001286320;158118;7398;0;0;0.000000119;0.000005105;-0.000000165;0.000008963;0.161099843;0.010638549;0.009556513;-1;-1;-1;-1
20graph_88_88_25_1000.dimacs;basic_line;bfs;1079027;6162.521330400;8623;1.28805136e+09;0.000006695;166286;7746;0.026033460;0.000258198;0.000002149;0.000092262;-0.000003585;0.000002121;0.984286945;0.994868983;0.990174525;-1;-1;-1;-1
20graph_88_88_25_1000.dimacs;basic_line;dfs;1079027;52258.763060200;601547.800000000;2200000;0.273430818;166286;7746;0;0;0.000000261;0.000011215;-0.000030403;0.000008382;0.486392164;0.020667572;0.019838227;-1;-1;-1;-1
20graph_88_88_25_1000.dimacs;basic_line;fat;1079027;1022.207156400;2343;7006983.444137843;0.000334381;166286;7746;0;0;0.000001312;0.000056323;-0.000000595;0.000004493;0.284834853;0.274778216;0.285313144;0.774577745;0.285007205;0.027519179;0.192648698
20graph_88_88_25_1000.dimacs;basic_line;scaling;1079027;282.382479000;8950;7006983.444137843;0.001277297;166286;7746;0;0;0.000000095;0.000004073;-0.000000164;0.000009074;0.148883302;0.006336676;0.006987638;-1;-1;-1;-1
21graph_90_90_25_1000.dimacs;basic_line;bfs;1095073;6819.576548800;8926;1.41374229e+09;0.000006314;174493;8102;0.025700171;0.000246853;0.000002189;0.000094299;-0.000004647;0.000002161;0.983821902;0.993982077;0.990007172;-1;-1;-1;-1
21graph_90_90_25_1000.dimacs;basic_line;dfs;1095073;57353.216812800;634400;2250000;0.281955556;174493;8102;0;0;0.000000259;0.000011159;-0.000039083;0.000008303;0.486415659;0.020731196;0.019904362;-1;-1;-1;-1
21graph_90_90_25_1000.dimacs;basic_line;fat;1095073;1514.777509600;2680;7364125.835287513;0.000363926;174493;8102;0;0;0.000001620;0.000069762;-0.000001032;0.000003457;0.450423702;0.442291475;0.458026989;0.848207003;0.457719026;0.040914035;0.287046148
21graph_90_90_25_1000.dimacs;basic_line;scaling;1095073;295.654452200;9064;7364125.835287513;0.001230832;174493;8102;0;0;0.000000093;0.000004026;-0.000000201;0.000009244;0.145489313;0.006161103;0.006733720;-1;-1;-1;-1
22graph_92_92_25_1000.dimacs;basic_line;bfs;1116795;7291.002292800;9330;1.54873618e+09;0.000006024;182936;8466;0.025620982;0.000236239;0.000002136;0.000092305;-0.000006089;0.000002108;0.985112786;0.995057427;0.990596590;-1;-1;-1;-1
22graph_92_92_25_1000.dimacs;basic_line;dfs;1116795;56952.422801600;648417.400000000;2300000;0.281920609;182936;8466;0;0;0.000000240;0.000010375;-0.000047560;0.000008274;0.466163942;0.019008333;0.018226623;-1;-1;-1;-1
22graph_92_92_25_1000.dimacs;basic_line;fat;1116795;1728.729311600;2756;7732047.039649637;0.000356439;182936;8466;0;0;0.000001714;0.000074092;-0.000001444;0.000003529;0.466399621;0.459233211;0.474972839;0.839622041;0.476625789;0.041382171;0.290978278
22graph_92_92_25_1000.dimacs;basic_line;scaling;1116795;284.080023800;9182;7732047.039649637;0.001187525;182936;8466;0;0;0.000000085;0.000003654;-0.000000237;0.000009843;0.129321841;0.005008809;0.005598857;-1;-1;-1;-1
23graph_94_94_25_1000.dimacs;basic_line;bfs;1153669;8508.069142400;9874;1.69528748e+09;0.000005824;191818;8838;0.025821351;0.000226296;0.000002246;0.000097495;-0.000009407;0.000002218;0.983994231;0.993418528;0.990099985;-1;-1;-1;-1
